Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CAN,90.53859035,95.53386274,98.59538718,95.98901165,91.57572989,100,101.5641737,101.0765941,97.47912781,91.48955,83.12919642,81.52624899,82.74804379,82.29660211,81.47867395
CHE,95.47801732,92.89594656,89.04258803,92.52714344,96.0875899,100,109.472695,105.3437508,103.6042081,104.2514813,110.4891863,108.1325325,106.003365,103.06787,104.1107143
DEU,105.2177382,104.2544409,105.7705066,105.8862991,106.4645647,100,98.89880946,95.2404504,97.57743045,98.239393,92.52147309,93.99963284,94.79127721,97.00700984,95.36876358
GBR,125.4285529,126.176567,128.2699333,111.7694009,100.3068527,100,99.8307949,103.4032048,102.0551599,108.7125826,113.7455842,102.3721281,97.0813553,98.8426415,98.34651352
JPN,99.45027649,90.03597812,82.47122945,88.62634614,99.53842538,100,101.1394186,99.88966404,79.64441015,74.59122875,69.41671194,78.84558856,75.03359368,74.37545135,76.47734877
USA,110.8409361,109.9241831,104.893475,100.4501521,104.6991641,100,95.01148423,97.3752337,97.53706626,99.17736626,109.8767905,114.3489679,114.0745183,112.9868264,116.1210224
